Data,CPF
2/6/2024,111.153.235-73
11/27/2023,111.154.375-51
10/25/2023,111.155.131-23
2/21/2024,111.317.175-53
1/11/2024,111.317.175-53
10/13/2023,111.324.357-71
10/24/2023,112.337.345-75
12/6/2023,113.135.175-55
2/29/2024,113.313.125-75
11/14/2023,113.444.725-55
12/4/2023,113.471.535-32
1/30/2024,113.732.135-73
12/8/2023,113.775.275-71
2/20/2024,114.233.345-25
10/11/2023,114.317.313-55
2/1/2024,114.571.255-52
1/30/2024,115.331.775-71
11/23/2023,115.355.525-43
11/21/2023,115.451.575-23
1/24/2024,115.572.755-55
2/28/2024,115.572.755-55
10/6/2023,115.715.175-33
2/15/2024,115.715.175-33
12/4/2023,115.715.175-33
1/16/2024,115.715.175-33
11/30/2023,115.715.175-33
1/16/2024,115.773.775-51
2/23/2024,115.775.324-41
10/27/2023,117.355.515-14
1/19/2024,117.371.115-25
2/23/2024,117.371.115-25
2/23/2024,117.511.135-17
11/29/2023,117.557.715-53
10/19/2023,117.725.524-17
2/9/2024,117.731.415-34
10/2/2023,121.154.735-17
12/19/2023,121.233.775-12
2/22/2024,121.237.355-23
2/20/2024,124.154.377-47
2/22/2024,124.154.731-53
12/1/2023,124.245.255-37
1/10/2024,124.252.315-23
11/17/2023,124.252.315-23
12/4/2023,124.417.175-55
2/9/2024,124.547.115-35
11/10/2023,125.135.375-33
2/5/2024,125.145.735-55
2/5/2024,125.175.255-15
2/22/2024,125.327.535-57
1/29/2024,125.343.155-31
2/26/2024,125.474.515-73
1/17/2024,125.474.515-73
1/10/2024,125.715.515-15
12/14/2023,127.112.445-13
12/28/2023,127.317.355-21
11/28/2023,127.351.135-57
2/15/2024,127.351.135-57
2/16/2024,127.554.415-73
2/16/2024,127.755.225-12
11/1/2023,127.757.435-54
2/16/2024,131.131.435-73
2/29/2024,131.535.335-17
12/14/2023,131.573.755-31
2/21/2024,131.774.515-13
1/5/2024,132.251.445-24
2/9/2024,132.343.115-53
10/26/2023,132.512.225-11
2/1/2024,132.712.235-21
2/15/2024,132.712.235-21
11/22/2023,133.272.755-11
11/27/2023,133.335.315-57
1/22/2024,133.513.774-57
1/31/2024,133.555.715-13
11/27/2023,134.341.745-53
10/25/2023,134.353.775-37
10/6/2023,134.474.175-17
1/19/2024,134.515.525-43
2/28/2024,134.714.152-33
2/28/2024,134.714.152-33
2/28/2024,134.735.115-52
2/28/2024,134.735.115-52
12/12/2023,135.255.745-53
2/16/2024,135.353.353-53
2/29/2024,135.451.517-31
11/1/2023,137.233.755-77
10/13/2023,137.252.315-23
12/14/2023,137.257.415-31
2/1/2024,137.375.115-32
1/18/2024,137.375.115-32
12/29/2023,137.375.115-32
11/1/2023,137.375.115-32
1/18/2024,137.375.115-32
12/14/2023,137.375.115-32
10/30/2023,137.375.115-32
11/17/2023,137.375.115-32
1/5/2024,137.375.115-32
1/24/2024,137.375.115-32
12/19/2023,137.375.115-32
12/4/2023,137.375.115-32
2/6/2024,137.375.115-32
1/23/2024,137.375.115-32
11/23/2023,137.375.115-32
2/7/2024,137.375.115-32
11/27/2023,137.375.115-32
2/23/2024,137.455.755-31
10/25/2023,137.511.745-13
10/25/2023,137.511.745-13
2/28/2024,137.522.345-45
1/30/2024,137.551.337-57
10/19/2023,137.772.775-57
1/16/2024,137.772.775-57
12/28/2023,137.777.155-53
1/26/2024,137.777.155-53
12/6/2023,141.271.755-33
12/11/2023,141.313.775-32
2/7/2024,141.332.715-52
2/14/2024,142.432.135-13
1/4/2024,142.474.115-33
12/20/2023,142.511.345-33
2/27/2024,143.114.757-43
10/20/2023,143.114.757-43
1/19/2024,143.312.455-32
10/11/2023,143.475.533-37
2/28/2024,143.574.515-54
11/8/2023,143.717.475-71
2/5/2024,143.721.235-13
2/21/2024,143.731.145-35
2/23/2024,143.731.145-35
12/15/2023,144.153.335-31
1/12/2024,144.277.115-14
2/8/2024,144.355.735-13
2/8/2024,144.355.735-13
1/16/2024,145.113.575-53
1/22/2024,145.113.575-53
2/16/2024,145.235.155-74
1/24/2024,145.254.135-74
12/1/2023,145.254.135-74
2/14/2024,145.357.135-73
12/11/2023,145.374.255-33
2/9/2024,145.374.255-33
2/1/2024,147.213.555-31
10/3/2023,147.337.775-77
10/6/2023,147.337.775-77
1/16/2024,147.357.355-43
2/19/2024,147.377.715-77
12/13/2023,151.142.315-41
12/19/2023,151.321.135-35
12/14/2023,151.753.355-57
12/26/2023,151.757.135-52
10/5/2023,152.153.775-51
11/28/2023,152.153.775-51
11/30/2023,152.153.775-51
10/25/2023,152.747.375-15
11/16/2023,153.331.255-33
1/3/2024,153.331.255-33
2/23/2024,153.457.125-77
1/30/2024,153.511.715-35
11/7/2023,153.535.515-32
1/16/2024,153.535.515-32
2/27/2024,153.535.515-32
1/30/2024,153.737.215-31
12/21/2023,153.737.215-31
10/27/2023,154.115.755-35
11/28/2023,155.145.555-37
2/8/2024,155.413.175-14
11/30/2023,155.511.135-45
10/30/2023,155.511.135-45
2/5/2024,157.151.315-33
1/22/2024,157.334.355-71
1/23/2024,157.334.355-71
1/23/2024,157.334.355-71
1/23/2024,157.334.355-71
1/3/2024,157.773.757-11
1/19/2024,171.113.255-71
2/26/2024,171.113.255-71
1/10/2024,172.347.215-31
2/21/2024,172.347.215-31
1/16/2024,172.347.215-31
12/15/2023,172.457.155-55
10/19/2023,173.153.755-52
10/30/2023,173.153.755-52
12/11/2023,173.233.375-53
1/11/2024,173.234.145-54
11/10/2023,173.257.735-15
2/29/2024,173.353.375-52
1/9/2024,173.353.375-52
1/17/2024,173.372.245-35
1/17/2024,173.372.245-35
2/21/2024,174.531.575-31
12/14/2023,174.531.575-31
10/3/2023,175.337.155-53
1/22/2024,175.372.335-35
2/29/2024,175.552.735-73
2/9/2024,175.552.735-73
10/23/2023,175.552.735-73
12/19/2023,175.552.735-73
12/19/2023,175.552.735-73
1/12/2024,175.552.735-73
1/4/2024,177.157.515-13
11/7/2023,177.525.115-32
2/7/2024,177.537.355-35
11/29/2023,177.552.755-54
12/8/2023,177.553.445-43
12/8/2023,177.571.235-73
2/1/2024,177.711.255-14
2/29/2024,177.752.415-35
10/19/2023,177.773.555-72
2/5/2024,211.424.115-11
1/24/2024,211.523.345-37
2/27/2024,212.122.555-77
2/28/2024,212.122.555-77
2/23/2024,212.122.555-77
2/29/2024,212.122.555-77
2/26/2024,212.124.315-13
1/29/2024,213.315.245-25
2/16/2024,213.315.245-25
11/21/2023,213.433.575-51
1/12/2024,213.443.535-51
12/20/2023,213.443.535-51
12/18/2023,213.443.535-51
11/16/2023,213.711.515-35
2/16/2024,213.727.275-13
11/21/2023,213.745.345-73
2/22/2024,213.772.135-45
2/26/2024,214.221.375-33
1/16/2024,214.277.235-57
2/28/2024,214.277.235-57
1/4/2024,214.413.375-37
2/6/2024,214.413.375-37
2/20/2024,214.717.135-73
2/7/2024,215.211.115-75
11/1/2023,215.211.375-47
1/30/2024,215.235.345-21
2/8/2024,215.311.375-13
2/29/2024,215.334.125-23
12/4/2023,215.334.125-23
12/1/2023,215.334.125-23
1/10/2024,215.334.125-23
2/26/2024,215.334.125-23
2/23/2024,215.517.135-51
12/28/2023,215.537.175-31
10/17/2023,215.537.175-31
11/29/2023,215.712.715-24
10/18/2023,217.124.375-11
2/29/2024,217.337.455-53
2/29/2024,217.337.455-53
2/16/2024,217.531.755-21
2/9/2024,217.557.335-13
1/17/2024,217.737.175-41
2/23/2024,217.771.155-54
2/19/2024,221.135.235-13
1/23/2024,221.135.235-13
12/15/2023,221.321.155-51
2/21/2024,221.544.235-52
2/5/2024,222.373.355-25
11/14/2023,222.542.155-11
12/7/2023,223.373.335-32
2/5/2024,223.373.335-32
10/4/2023,223.373.335-32
2/23/2024,223.711.755-35
2/29/2024,223.711.755-35
1/4/2024,223.711.755-35
12/18/2023,223.725.735-73
12/18/2023,223.777.515-53
2/20/2024,224.171.525-54
2/5/2024,225.147.713-34
12/8/2023,227.377.445-14
11/13/2023,227.377.445-14
11/28/2023,233.131.175-13
10/20/2023,233.155.515-73
2/19/2024,233.155.515-73
1/5/2024,233.332.455-35
1/19/2024,233.341.145-47
2/2/2024,233.575.435-14
1/4/2024,234.174.725-37
12/15/2023,237.135.375-57
12/13/2023,237.135.375-57
12/15/2023,237.135.375-57
2/21/2024,237.517.115-12
1/24/2024,241.155.435-15
10/16/2023,241.341.375-33
11/8/2023,245.437.445-43
2/19/2024,245.457.115-11
2/26/2024,247.371.535-13
2/26/2024,251.275.135-11
12/6/2023,251.342.775-53
1/29/2024,251.342.775-53
11/14/2023,251.374.735-33
1/17/2024,251.542.575-47
2/5/2024,252.254.755-23
1/4/2024,253.123.135-57
1/5/2024,253.212.745-73
11/23/2023,253.217.535-54
2/26/2024,253.427.775-77
11/24/2023,254.243.425-31
2/2/2024,254.527.575-12
1/4/2024,255.215.125-53
1/9/2024,255.215.125-53
1/10/2024,255.215.125-53
1/10/2024,255.725.535-74
1/12/2024,255.731.715-24
12/14/2023,257.153.375-31
12/5/2023,257.153.375-31
11/22/2023,257.153.375-31
2/27/2024,257.175.715-43
11/6/2023,257.312.235-24
12/19/2023,257.315.255-15
1/31/2024,257.325.475-17
1/10/2024,257.425.435-31
12/22/2023,257.427.575-33
12/6/2023,257.443.775-37
11/16/2023,271.134.725-31
12/11/2023,271.173.435-75
2/27/2024,271.173.435-75
12/1/2023,271.173.435-75
10/25/2023,271.173.435-75
11/17/2023,271.173.435-75
11/27/2023,271.173.435-75
11/10/2023,271.173.435-75
2/29/2024,271.242.115-35
12/15/2023,271.315.145-22
11/17/2023,271.315.145-22
2/26/2024,271.357.135-75
2/9/2024,271.411.745-57
2/27/2024,271.411.745-57
1/30/2024,271.423.555-35
2/21/2024,271.451.255-17
1/26/2024,271.451.255-17
1/10/2024,271.451.255-17
1/31/2024,271.451.255-17
2/19/2024,271.527.555-31
2/5/2024,271.775.155-25
11/17/2023,271.775.155-25
1/3/2024,272.115.755-45
1/19/2024,272.133.135-37
10/9/2023,272.234.435-32
1/31/2024,272.513.535-13
2/5/2024,272.535.275-33
11/24/2023,272.535.275-33
2/2/2024,272.574.725-32
10/9/2023,272.577.725-17
2/27/2024,272.717.715-54
2/6/2024,273.224.275-57
2/19/2024,273.513.515-53
11/14/2023,273.531.525-42
10/11/2023,273.725.345-52
2/19/2024,274.135.755-52
12/28/2023,274.235.335-33
12/8/2023,274.442.475-22
12/8/2023,274.442.475-22
2/22/2024,275.115.215-37
12/22/2023,275.153.545-33
10/23/2023,275.417.135-17
2/6/2024,275.434.455-21
12/14/2023,275.434.455-21
11/3/2023,275.533.735-53
10/24/2023,275.573.345-71
2/6/2024,275.753.235-32
2/6/2024,275.753.235-32
2/15/2024,277.124.175-45
2/15/2024,277.124.175-45
1/8/2024,277.124.175-45
11/24/2023,277.124.175-45
11/24/2023,277.155.375-35
1/22/2024,277.447.735-52
2/8/2024,277.543.215-12
12/26/2023,277.575.555-37
12/19/2023,277.731.231-15
10/5/2023,277.733.275-53
10/26/2023,277.745.355-33
2/7/2024,311.115.175-31
11/30/2023,311.135.255-53
2/26/2024,311.153.537-13
2/6/2024,311.155.525-53
11/27/2023,311.235.715-35
11/28/2023,311.235.715-35
1/24/2024,311.235.715-35
2/9/2024,311.341.775-33
1/24/2024,311.417.335-24
2/29/2024,311.545.325-75
11/7/2023,311.552.175-47
1/31/2024,311.552.175-47
1/30/2024,311.572.535-51
2/7/2024,311.574.155-34
1/30/2024,311.731.535-77
11/16/2023,312.311.725-57
2/8/2024,312.417.337-32
11/14/2023,312.417.337-32
12/26/2023,312.573.555-55
2/9/2024,312.747.315-33
12/14/2023,313.133.315-75
2/8/2024,313.177.355-13
1/30/2024,313.217.445-32
12/18/2023,313.237.477-14
1/22/2024,313.327.525-75
2/22/2024,313.327.525-75
1/29/2024,313.327.525-75
2/9/2024,313.371.313-17
10/27/2023,313.437.145-57
10/30/2023,313.437.775-15
10/23/2023,313.477.325-47
11/30/2023,313.543.155-15
10/3/2023,313.557.215-55
2/26/2024,313.557.514-33
2/21/2024,313.557.514-33
2/22/2024,313.557.514-33
2/19/2024,313.557.514-33
10/17/2023,314.175.211-51
11/13/2023,314.237.115-31
1/4/2024,314.237.115-31
2/29/2024,314.341.415-33
11/16/2023,314.347.375-77
1/26/2024,314.511.355-33
12/28/2023,314.531.155-14
10/3/2023,314.747.555-14
1/26/2024,314.747.555-14
1/23/2024,315.117.355-12
2/19/2024,315.137.555-55
11/14/2023,315.137.755-17
2/23/2024,315.174.175-23
